ReleaseDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20180918,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-09-18,2018-09-24,2
20180911,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-09-11,2018-09-17,2
20180904,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-09-04,2018-09-10,2
20180828,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-08-28,2018-09-03,2
20180821,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-08-21,2018-08-27,2
20180814,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-08-14,2018-08-20,2
20180807,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-08-07,2018-08-13,2
20180731,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-07-31,2018-08-06,2
20180724,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-07-24,2018-07-30,2
20180717,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-07-17,2018-07-23,2
20180710,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-07-10,2018-07-16,2
20180703,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-07-03,2018-07-09,2
20180626,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-06-26,2018-07-02,2
20180619,06001,Alameda County,CA,57.94,42.06,0.00,0.00,0.00,0.00,2018-06-19,2018-06-25,2
20180612,06001,Alameda County,CA,58.41,41.59,0.00,0.00,0.00,0.00,2018-06-12,2018-06-18,2
20180605,06001,Alameda County,CA,58.41,41.59,0.00,0.00,0.00,0.00,2018-06-05,2018-06-11,2
20180529,06001,Alameda County,CA,58.41,41.59,0.00,0.00,0.00,0.00,2018-05-29,2018-06-04,2
20180522,06001,Alameda County,CA,58.41,41.59,0.00,0.00,0.00,0.00,2018-05-22,2018-05-28,2
20180515,06001,Alameda County,CA,58.49,41.51,0.00,0.00,0.00,0.00,2018-05-15,2018-05-21,2
20180508,06001,Alameda County,CA,57.67,42.33,0.00,0.00,0.00,0.00,2018-05-08,2018-05-14,2
20180501,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-05-01,2018-05-07,2
20180424,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-04-24,2018-04-30,2
20180417,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-04-17,2018-04-23,2
20180410,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-04-10,2018-04-16,2
20180403,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-04-03,2018-04-09,2
20180327,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-03-27,2018-04-02,2
20180320,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-03-20,2018-03-26,2
20180313,06001,Alameda County,CA,55.09,44.91,0.00,0.00,0.00,0.00,2018-03-13,2018-03-19,2
20180306,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-03-06,2018-03-12,2
20180227,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-02-27,2018-03-05,2
20180220,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2018-02-20,2018-02-26,2
20180213,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-02-13,2018-02-19,2
20180206,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-02-06,2018-02-12,2
20180130,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-30,2018-02-05,2
20180123,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-23,2018-01-29,2
20180116,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-16,2018-01-22,2
20180109,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-09,2018-01-15,2
20180102,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2018-01-02,2018-01-08,2
20171226,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-26,2018-01-01,2
20171219,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-19,2017-12-25,2
20171212,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-12,2017-12-18,2
20171205,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2017-12-05,2017-12-11,2
20171128,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2017-11-28,2017-12-04,2
